"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104"
"86",6,2,6,6,2,4,8,6,8,6,8,8,4,8,6,4,6,6,6,4,2,4,4,8,8,6,6,4,6,8,8,8,4,6,4,2,8,6,4,4,8,8,6,6,8,4,8,8,6,4,8,8,2,8,6,6,6,8,4,8,6,6,6,4,6,6,4,6,6,8,6,8,6,6,8,4,8,6,8,8,10,2,8,2,6,0,8,8,4,4,8,8,6,10,8,4,8,2,4,6,2,4,4,6
"87",8,8,6,8,4,6,8,2,8,4,8,8,4,8,6,6,6,8,6,10,6,8,6,10,10,4,8,8,6,6,4,4,6,8,10,8,6,4,2,6,6,4,6,4,10,10,6,10,8,6,4,8,8,4,6,4,6,4,4,8,8,4,6,4,2,8,4,8,6,8,6,4,8,4,4,6,8,2,6,6,6,8,4,8,4,8,0,4,6,6,10,4,2,6,2,8,6,6,6,2,8,8,10,2
"88",8,2,6,6,6,8,4,4,6,6,8,6,4,2,6,6,6,4,6,6,6,6,6,6,6,6,10,4,8,6,4,8,8,8,8,8,4,10,2,4,8,8,6,6,10,8,8,10,6,8,10,8,6,4,8,2,6,6,4,8,6,4,8,4,4,8,4,10,6,10,6,10,6,4,10,2,8,6,6,6,8,10,4,6,6,8,4,0,8,2,6,10,4,6,6,8,6,8,8,4,2,6,6,6
"89",8,6,8,6,8,10,6,4,10,10,8,8,8,8,10,8,8,8,8,10,6,8,6,4,8,6,6,4,8,8,6,6,4,6,2,10,2,8,8,8,6,4,8,6,4,8,6,8,8,2,4,8,8,6,6,4,6,4,8,8,4,6,8,8,8,6,6,6,8,6,6,6,6,8,4,8,4,6,8,6,6,6,6,6,4,4,6,8,0,8,8,10,6,8,6,2,4,4,2,6,8,10,6,8
"90",4,8,4,6,8,6,4,4,6,4,10,10,8,4,4,4,10,10,10,2,8,6,2,10,4,4,4,8,8,8,8,8,4,6,6,4,6,8,8,4,10,8,6,8,10,6,10,8,2,6,6,8,8,8,6,8,8,8,6,4,8,8,8,10,10,6,6,4,8,8,10,4,8,8,2,8,6,4,8,6,6,10,6,8,6,4,6,2,8,0,8,6,8,8,6,8,10,6,6,6,4,6,4,6
"91",8,6,6,8,8,6,10,10,8,10,6,2,6,4,6,10,4,8,8,8,10,6,6,8,8,8,4,8,8,8,4,6,4,8,8,4,10,2,10,6,6,6,4,8,4,8,8,8,6,6,8,10,8,6,6,8,4,8,4,6,6,6,8,8,4,2,4,4,8,4,6,6,10,10,6,10,6,10,6,6,4,4,6,8,4,8,10,6,8,8,0,2,8,4,6,6,10,8,2,8,6,10,6,4
"92",8,10,10,4,8,8,8,8,8,8,4,6,8,6,2,2,8,2,4,4,4,6,10,6,6,6,8,8,10,4,8,6,4,8,2,4,6,8,8,8,6,6,6,8,2,8,2,8,8,6,8,6,4,6,8,6,10,6,8,6,10,10,4,6,8,8,4,2,2,8,8,10,8,6,6,4,8,6,6,6,2,10,10,4,10,8,4,10,10,6,2,0,6,8,6,8,4,6,4,2,4,6,6,6
"93",8,4,4,8,4,8,8,4,6,8,4,4,4,6,4,4,6,8,8,4,10,8,10,8,8,6,10,8,6,6,6,8,4,10,2,8,6,4,6,8,8,8,4,8,8,6,6,4,6,6,8,8,2,4,8,8,8,6,6,6,8,6,6,6,6,8,4,8,4,4,8,6,6,6,6,4,4,4,6,8,6,8,4,6,8,6,2,4,6,8,8,6,0,10,6,6,10,8,4,6,8,6,10,4
"94",2,4,6,4,8,4,6,8,6,6,8,6,4,4,4,2,2,6,4,6,4,8,4,8,8,6,6,6,6,4,2,4,6,8,8,6,4,4,8,2,4,4,4,4,6,8,6,8,10,6,8,6,6,8,8,6,6,10,8,6,10,6,4,8,6,6,2,4,4,4,8,6,4,4,8,8,4,2,6,4,10,4,10,8,6,10,6,6,8,8,4,8,10,0,6,4,8,6,10,4,6,10,2,10
"95",4,6,6,8,8,8,2,6,10,8,4,10,6,6,6,4,6,2,6,6,4,6,4,4,2,8,8,4,4,8,6,10,6,10,6,8,10,4,8,8,6,6,10,6,10,8,6,6,8,8,4,4,8,10,6,8,8,8,10,6,8,6,6,8,4,6,4,8,10,6,6,4,2,6,6,2,6,4,8,8,4,8,6,4,2,8,2,6,6,6,6,6,6,6,0,4,8,4,8,6,4,4,8,10
"96",2,4,4,2,4,6,6,2,8,6,8,6,8,4,8,6,4,4,4,6,6,8,4,6,6,6,4,6,6,6,6,8,8,4,6,8,8,8,4,6,6,6,4,6,6,4,2,4,4,6,2,8,6,6,6,2,2,8,4,4,6,8,8,8,4,6,8,4,6,4,4,6,4,6,6,6,6,4,6,4,6,4,8,4,6,4,8,8,2,8,6,8,6,4,4,0,8,4,6,6,6,6,8,4
"97",8,6,8,6,4,6,4,8,4,6,4,4,8,8,6,8,10,4,6,6,8,8,8,8,8,4,6,6,4,6,8,8,4,10,8,8,8,10,6,10,8,4,6,6,8,8,6,6,8,8,8,6,6,8,8,10,6,8,6,4,6,4,8,8,8,6,6,8,10,8,6,4,8,6,6,2,4,8,6,8,8,4,4,6,6,8,6,6,4,10,10,4,10,8,8,8,0,4,6,4,6,8,6,10
"98",8,4,8,8,4,2,6,4,4,4,4,4,8,6,10,6,10,6,6,4,6,6,6,8,8,10,6,8,8,8,4,8,8,6,4,6,6,8,4,8,6,6,8,4,6,8,6,4,6,6,2,8,8,6,8,4,2,6,2,4,8,4,8,6,8,8,8,4,6,8,10,10,6,8,10,6,10,10,8,6,10,10,4,8,8,2,6,8,4,6,8,6,8,6,4,4,4,0,6,6,8,4,8,6
"99",8,4,10,6,10,6,6,10,2,10,2,2,4,6,6,4,8,6,4,6,8,8,8,10,8,8,10,6,6,4,4,6,6,8,2,8,4,6,8,6,8,6,10,4,4,4,6,4,4,8,6,4,6,8,8,8,10,6,8,10,6,6,4,4,6,8,8,4,8,2,8,8,6,8,6,8,10,6,6,10,8,4,6,6,4,4,6,8,2,6,2,4,4,10,8,6,6,6,0,4,6,6,4,6
"100",8,8,6,10,4,8,10,4,8,4,6,6,6,4,6,8,6,4,6,6,6,8,6,6,8,4,6,6,2,4,4,6,4,6,6,4,8,8,6,8,4,8,4,6,8,4,6,6,10,6,10,10,6,8,8,8,8,2,6,8,6,10,2,6,2,6,6,4,6,4,6,6,4,4,4,4,2,8,6,8,6,8,4,8,6,6,2,4,6,6,8,2,6,4,6,6,4,6,4,0,6,6,6,2
"101",6,2,6,4,2,6,6,6,8,8,10,8,6,2,4,6,4,6,10,8,8,8,8,10,4,8,8,6,4,8,6,8,6,10,6,10,10,4,8,8,8,6,4,6,8,8,10,6,6,2,8,4,6,6,6,6,6,4,4,6,6,6,8,8,6,8,4,2,4,2,4,8,6,6,6,6,8,4,6,6,6,6,6,2,4,2,8,2,8,4,6,4,8,6,4,6,6,8,6,6,0,4,6,6
"102",8,6,4,8,6,4,2,6,8,4,10,8,8,8,4,4,8,2,6,8,10,10,6,6,4,10,4,4,6,2,6,6,6,8,8,10,8,6,2,6,4,4,6,10,8,6,8,6,10,6,6,8,4,6,4,6,4,6,2,6,4,6,4,2,4,4,6,4,4,6,4,6,6,4,6,4,6,2,6,4,6,4,8,8,4,4,8,6,10,6,10,6,6,10,4,6,8,4,6,6,4,0,6,4
"103",4,8,4,4,6,8,8,8,4,6,8,2,6,4,2,8,8,6,6,6,4,8,4,2,6,2,10,4,10,8,10,6,6,10,6,2,6,6,10,8,6,6,6,8,8,6,10,4,6,10,4,6,4,6,8,10,6,6,6,6,8,8,4,4,4,8,8,2,8,6,6,8,6,4,4,4,6,6,4,8,2,8,8,2,8,4,10,6,6,4,6,6,10,2,8,8,6,8,4,6,6,6,0,6
"104",2,4,8,6,8,6,8,8,6,8,6,6,6,4,6,10,6,8,8,8,10,6,4,8,8,4,6,8,8,4,4,2,8,4,2,4,2,2,6,4,6,4,6,6,6,6,4,6,4,2,8,2,8,6,8,8,4,8,6,4,4,8,2,10,10,6,10,10,4,10,8,10,8,6,10,8,4,4,8,6,8,6,6,6,6,6,2,6,8,6,4,6,4,10,10,4,10,6,6,2,6,4,6,0
